config_name,num_layers,hidden_size,param_count,prefill_latency_mean,prefill_latency_std,prefill_latency_p50,prefill_latency_p95,prefill_latency_p99,decode_latency_mean,decode_latency_std,decode_latency_p50,decode_latency_p95,decode_latency_p99,total_time_50tok,total_time_100tok,total_time_200tok,throughput_batch1,throughput_batch8,throughput_batch16,throughput_batch32,peak_memory_gb
width-512,40,512,148918784,31.989293402875774,0.07555257333236201,31.996134013752453,32.107576201087795,32.14694723661523,27.50529582425952,0.9572177925565634,27.046006493037567,28.860104552586563,30.907427092024584,1413.5741503967438,2777.0863492041826,5531.340397009626,36.92416155576635,280.7366407349822,566.8506281875676,1120.5397229527762,1.148172378540039
width-768,40,768,302052096,29.89120279380586,0.14314848323132906,29.87317148654256,30.112883691617753,30.157312734227162,27.52366040740162,0.5761413579315425,27.293833991279826,28.76052854844602,29.37341840734007,1435.4963621939532,2777.7937737933826,5511.825250601396,36.91573788941088,276.62489709656234,554.8075837056506,1109.1584098132298,1.4496102333068848
width-1024,40,1024,507511808,30.664641701150686,0.08592811586773128,30.66227950330358,30.78406160348095,30.81933152046986,27.242864732048474,0.4241897183412201,27.091192998341285,28.236947054392658,28.661495467531495,1468.263933993876,2808.1108928017784,5658.720871410333,35.55809182196027,271.60530554441084,546.3485324873683,1056.5982978364918,1.822199821472168
width-1280,40,1280,772066560,31.677248197956942,0.08900218927208621,31.691275507910177,31.810804079577792,31.841296804195736,27.98164704302326,0.7364058514888664,27.608659001998603,29.47285029076738,30.685945411969435,1406.9409363961313,2828.5925795906223,5677.595802000724,35.70131991972359,265.9494219478664,523.6316833211396,1085.4679998476227,2.41536283493042
width-1536,40,1536,1091692032,32.93208760442212,0.4869578263838093,32.94649798772298,33.52730930346297,33.593040261475835,28.694819191470742,0.8493244893278541,28.746562500600703,29.853751508926507,30.4183084887336,1462.764814007096,2789.5221651997417,5628.617854602635,34.303472654053294,257.8285971586185,531.0608173311653,1082.266269311967,3.1080284118652344
