name,num_layers,hidden_size,param_count,total_time_ms,decode_ms_per_token,prefill_ms
Baguettotron,80,576,320956992,5649.172681674827,54.319966334151104,60.2865630062297
Gemma-3-12B,48,3840,10868862720,3642.8902540161894,35.178001231462176,211.60542567182952
