config_name,num_layers,hidden_size,param_count,prefill_latency_mean,prefill_latency_std,prefill_latency_p50,prefill_latency_p95,prefill_latency_p99,decode_latency_mean,decode_latency_std,decode_latency_p50,decode_latency_p95,decode_latency_p99,total_time_50tok,total_time_100tok,total_time_200tok,throughput_batch1,throughput_batch8,throughput_batch16,throughput_batch32,peak_memory_gb
depth-20L,20,576,108551232,15.807942798710428,0.016499817359899444,15.809004005859606,15.830272997845896,15.830762605764903,13.909147177357227,0.09555910226741991,13.896976000978611,14.051199000095949,14.166903532750439,717.4017835990526,1430.8604947989807,2947.019738605013,67.98442140735621,505.308385990286,1037.396108291761,2224.167718960837,0.8529496192932129
depth-40L,40,576,179353152,31.414818597841077,0.7013033307368444,31.4688729995396,32.42506015812978,32.700709647033364,28.58270382892806,0.8810062168507342,28.877441000076942,29.761360499833245,30.03296028706245,1424.8473083949648,2901.42347580404,5683.184932201402,36.61923423512071,269.08919484075943,534.3682588154855,1088.7327952447513,1.120546817779541
depth-60L,60,576,250155072,45.36538190150168,0.16680017026798608,45.28998750902247,45.6752103054896,45.759387663565576,41.115952884429134,1.0323574288287174,40.66328400222119,43.41864149610046,44.20415940898238,2134.621317399433,4156.366070196964,8595.671785599552,23.324215475576338,173.64806353239643,349.259608227918,726.5650212902941,1.3821511268615723
depth-80L,80,576,320956992,60.75810660258867,0.4215278860690958,60.73025650402997,61.27961960592074,61.31494711706182,54.36372154275887,1.101135582306982,53.9234235038748,56.771955656586215,57.719161904242355,2854.235059005441,5791.920787206618,11343.414846801898,17.71062837952908,138.06015323314543,266.5812219237407,555.8277360451591,1.6450600624084473
depth-100L,100,576,391758912,74.86973370541818,0.10738950677935577,74.86163800058421,75.05083375435788,75.11387155449484,68.69613847194705,2.3366707659871238,67.41453650465701,73.78651119215647,74.85651997005334,3538.609958405141,7176.268411194906,14387.169189593988,13.716564658845265,105.76599356448719,222.30197408466455,455.4058283092298,1.9127144813537598
