num_layers,hidden_size,param_count,total_time_100tok,decode_latency_mean,prefill_latency_mean,params_vs_baseline,speedup_vs_baseline
80,3584,11006955008,5842.393124604132,56.208898732671514,230.65864110540133,1.0,1.0
60,4096,10807119872,4443.334676011,43.55965126003139,231.2538794009015,0.9818446486012928,1.3148667725045495
40,4096,7294226432,2944.4948842050508,28.511813436285593,155.5859304004116,0.662692490947629,1.9841749958351347
20,4096,3781332992,1492.2726095945109,14.942649727803655,79.9215617007576,0.34354033329396527,3.9150977422226236
10,4096,2024886272,767.2138778027147,8.162524368730374,42.53986449621152,0.18396425446713338,7.615077481831572
