num_layers,hidden_size,param_count,total_time_ms,decode_ms_per_token,prefill_ms,params_vs_baseline
80,576,320956992,5513.072814501356,53.28008294988346,60.33945100110335,1.0
60,4096,10807119872,4367.0198199979495,41.703409602632746,230.4569526653116,33.67155145820908
40,5120,11332899840,3649.5592335122637,34.853838767351895,200.15701733063906,35.30971476701776
20,7168,11269078016,3268.7794050143566,30.832926933362614,192.2232936679696,35.11086624341245
10,8192,7578230784,2154.0451159962686,20.342380851798225,135.69815733353607,23.611359069566554
